Ticker Symbol,Security,GICS Sector,GICS Sub Industry,Current Price,Price Change,Volatility,ROE,Cash Ratio,Net Cash Flow,Net Income,Earnings Per Share,Estimated Shares Outstanding,P/E Ratio,P/B Ratio
AAL,American Airlines Group,Industrials,Airlines,42.35,10.0,1.69,135.0,51.0,,7610000000.0,11.39,,3.72,-8.78
ABBV,AbbVie,Health Care,Pharmaceuticals,59.24,8.34,2.2,130.0,77.0,,5144000000.0,3.15,,18.81,-8.75
ABT,Abbott Laboratories,Health Care,Health Care Equipment,44.91,11.3,1.27,21.0,67.0,,4423000000.0,2.94,,15.28,-0.39
ADBE,Adobe Systems Inc,Information Technology,Application Software,93.94,13.98,1.36,9.0,180.0,,629551000.0,1.26,,74.56,4.2
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,55.32,-1.83,1.7,14.0,272.0,,696878000.0,0.31,,178.45,1.06
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,36.68,-12.02,1.52,10.0,49.0,,1849000000.0,2.99,,12.27,7.5
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,276.57,6.19,1.12,30.0,25.0,,596541000.0,8.91,,31.04,129.06
AEE,Ameren Corp,Utilities,MultiUtilities,43.23,2.17,1.12,9.0,14.0,,636000000.0,2.6,,16.63,-0.72
AEP,American Electric Power,Utilities,Electric Utilities,58.27,2.37,1.07,11.0,9.0,,2052300000.0,3.13,,18.46,-3.02
AFL,AFLAC Inc,Financials,Life & Health Insurance,59.9,3.03,1.05,14.0,99.0,,2533000000.0,5.88,,10.19,-1.88
AIG,"American International Group, ",Financials,Property & Casualty Insurance,61.97,8.36,1.11,2.0,99.0,,2196000000.0,1.69,,36.67,-4.33
AIV,Apartment Investment & Mgmt,Real Estate,REITs,40.03,7.58,1.16,15.0,47.0,,248710000.0,1.52,,26.34,-1.27
AIZ,Assurant Inc,Financials,Multi-line Insurance,80.54,1.9,1.11,3.0,99.0,,141555000.0,2.08,,38.72,-4.07
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,40.94,-0.61,1.05,10.0,99.0,,356800000.0,2.07,,19.78,-9.86
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,52.63,-23.79,1.38,10.0,225.0,,321406000.0,1.8,,29.24,4.28
ALB,Albemarle Corp,Materials,Specialty Chemicals,56.01,26.46,1.97,10.0,13.0,,334906000.0,3.01,,18.61,-13.65
ALK,Alaska Air Group Inc,Industrials,Airlines,80.51,2.07,1.77,35.0,74.0,,848000000.0,6.61,,12.18,-1.11
ALL,Allstate Corp,Financials,Property & Casualty Insurance,62.09,6.59,1.05,11.0,99.0,,2171000000.0,5.12,,12.13,-4.33
ALLE,Allegion,Industrials,Building Products,65.92,13.75,1.28,601.0,45.0,,153900000.0,1.6,,41.2,-0.88
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,190.75,22.34,2.02,2.0,195.0,,144000000.0,0.68,,280.51,-14.17
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,18.67,26.83,1.46,18.0,131.0,,1377000000.0,1.13,,16.52,3.86
AME,AMETEK Inc,Industrials,Electrical Components & Equipment,53.59,2.21,1.09,18.0,37.0,,590859000.0,2.46,,21.78,-4.49
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,159.76,-6.61,2.09,18.0,67.0,,516000000.0,9.49,,16.83,-31.02
